"Index" "XPD.USD"
2015-06-13 752.388
2015-06-14 734.2
2015-06-15 737.115
2015-06-16 737.115
2015-06-17 737.115
2015-06-18 737.115
2015-06-19 737.115
2015-06-20 708
2015-06-21 708.55
2015-06-22 709.05
2015-06-23 709.05
2015-06-24 709.05
2015-06-25 709.05
2015-06-26 709.05
2015-06-27 709.05
2015-06-28 679.35
2015-06-29 677.215
2015-06-30 677.215
2015-07-01 677.215
2015-07-02 677.215
2015-07-03 677.215
2015-07-04 677.215
2015-07-05 685.1
2015-07-06 684.356
2015-07-07 684.356
2015-07-08 684.356
2015-07-09 684.356
2015-07-10 684.356
2015-07-11 684.356
2015-07-12 653.05
2015-07-13 653.27
2015-07-14 653.27
2015-07-15 653.27
2015-07-16 653.27
2015-07-17 653.27
2015-07-18 653.27
2015-07-19 616
2015-07-20 619.883
2015-07-21 619.883
2015-07-22 619.883
2015-07-23 619.883
2015-07-24 619.883
2015-07-25 619.883
2015-07-26 619.883
2015-07-27 627
2015-07-28 627
2015-07-29 627
2015-07-30 627
2015-07-31 627
2015-08-01 627
2015-08-02 611.45
2015-08-03 615.435
2015-08-04 615.435
2015-08-05 615.435
2015-08-06 615.435
2015-08-07 615.435
2015-08-08 615.435
2015-08-09 600.4
2015-08-10 597.175
2015-08-11 597.175
2015-08-12 597.175
2015-08-13 597.175
2015-08-14 597.175
2015-08-15 597.175
2015-08-16 618.95
2015-08-17 617
2015-08-18 617
2015-08-19 617
2015-08-20 617
2015-08-21 617
2015-08-22 617
2015-08-23 602.65
2015-08-24 602.505
2015-08-25 602.505
2015-08-26 602.505
2015-08-27 602.505
2015-08-28 602.505
2015-08-29 602.505
2015-08-30 588.149
2015-08-31 581.5
2015-09-01 581.5
2015-09-02 581.5
2015-09-03 581.5
2015-09-04 581.5
2015-09-05 581.5
2015-09-06 581.5
2015-09-07 575.28
2015-09-08 575.28
2015-09-09 575.28
2015-09-10 575.28
2015-09-11 575.28
2015-09-12 575.28
2015-09-13 595.25
2015-09-14 596
2015-09-15 596
2015-09-16 596
2015-09-17 596
2015-09-18 596
2015-09-19 596
2015-09-20 606.95
2015-09-21 609
2015-09-22 609
2015-09-23 609
2015-09-24 609
2015-09-25 609
2015-09-26 609
2015-09-27 609
2015-09-28 665.605
2015-09-29 665.605
2015-09-30 665.605
2015-10-01 665.605
2015-10-02 665.605
2015-10-03 665.605
2015-10-04 697.8
2015-10-05 705.464
2015-10-06 705.464
2015-10-07 705.464
2015-10-08 705.464
2015-10-09 705.464
2015-10-10 705.464
2015-10-11 710.95
